submitted_on,latitude,longitude,waste_active,type_of_wastesite,site_open_year,site_managed_local,site_close_year,site_years_open,waste_state,waste_category,pollution_evidence,solidwaste_source,municipal_pop_served,municipal_ops_type,municipal_ops_other,commercial_ops_type,industrial_ops_type,sludge_source,sludge_source_other,sludge_ops_type,sludge_ops_other,drinking_treatment,drinking_sludge_local,waste_water_treatment,waste_water_board_mgmt,waste_water_manager,waste_water_sludge_local,waste_water_category
20/06/2018,-13.9862851,33.9091849,Yes,NA,6/1/2018,No,NA,NA,Solid waste,Household waste,No,Municipal - community waste site,50 - 500,Disposal (Landfill) Unlicensed Operation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-13.8263278,33.6010048,Yes,NA,7/1/2010,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-13.9862461,33.9087097,Yes,NA,1/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-13.9864262,33.9087796,Yes,NA,1/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-13.8236625,33.4488688,Yes,NA,5/1/2013,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-13.8262173,33.6006016,Yes,NA,8/1/2016,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-13.9864621,33.90915,Yes,NA,1/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-14.0428967,33.3863975,Yes,NA,1/1/2017,No,NA,NA,Solid waste,Non-hazardous waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-13.9864932,33.9092201,Yes,NA,1/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-13.9866545,33.9090004,Yes,NA,1/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-13.8795477,33.8306092,Yes,NA,5/1/2017,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-14.0026769,33.8260238,Yes,NA,8/1/2016,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-13.8781869,33.8332951,Yes,NA,10/1/2017,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-14.0029689,33.8256481,Yes,NA,7/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-14.0034359,33.8257403,Yes,Human,1/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-13.9943577,33.917607,Yes,NA,2/1/2016,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-13.9940724,33.917728,Yes,NA,2/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-13.7073668,33.6612007,Yes,NA,6/1/2002,No,NA,NA,Liquid waste,Household waste,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,No,Household,No,Waste water discharge from Domestic or Municipal sources
20/06/2018,-13.879475,33.8276,Yes,NA,3/1/2018,No,NA,NA,Solid waste,Non-hazardous waste,Yes,Commercial - collection and disposal,NA,NA,NA,Disposal (Landfill) Unlicensed Operation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-13.8795521,33.827441,Yes,NA,2/1/2018,No,NA,NA,Solid waste,Non-hazardous waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-14.254106,33.7722424,Yes,NA,6/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-14.253597,33.7720329,Yes,Human,5/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2018,-14.113459,34.0722189,Yes,Human,10/1/2015,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2018,-13.825007,33.6001174,Yes,NA,1/1/2018,No,NA,NA,"Solid waste, Liquid waste",Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,None,NA,Waste water discharge from Domestic or Municipal sources
21/06/2018,-13.8248763,33.600661,Yes,NA,1/1/2017,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2018,-13.8247233,33.600984,Yes,NA,6/1/2004,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2018,-13.824546,33.6009721,Yes,NA,5/1/2015,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2018,-13.8242287,33.6009958,Yes,NA,4/1/2014,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2018,-13.7120635,33.6798027,Yes,NA,6/1/2016,No,NA,NA,Solid waste,Medical waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2018,-13.8252082,33.6008199,Yes,NA,3/1/2017,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2018,-13.8252815,33.6009371,Yes,NA,2/1/2014,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2018,-13.8254222,33.6003739,Yes,NA,11/1/2017,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2018,-13.9954224,33.9152879,Yes,NA,1/1/2016,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2018,-13.8249678,33.5984993,Yes,Human,1/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2018,-13.8249617,33.5990435,Yes,NA,7/1/2012,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2018,-13.8542452,33.6804493,Yes,NA,5/1/2018,Yes,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2018,-13.8250209,33.5995113,Yes,NA,10/1/2016,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2018,-13.9971473,33.913224,Yes,NA,3/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2018,-13.9969181,33.9130486,Yes,NA,2/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2018,-13.8252349,33.5995958,Yes,Human,1/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2018,-14.1366568,33.9396129,Yes,NA,3/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2018,-13.847854,33.6883642,Yes,NA,3/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2018,-13.8269582,33.6000985,Yes,NA,3/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2018,-13.8263768,33.6004554,Yes,NA,2/1/2015,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2018,-13.8267345,33.6002758,Yes,NA,5/1/2015,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2018,-13.8351605,33.8542763,Yes,NA,3/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2018,-13.8353257,33.8537901,Yes,NA,1/1/2018,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/06/2018,-13.8890783,33.7254057,Yes,NA,3/1/2018,No,NA,NA,"Solid waste, Liquid waste",Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,Owner ,NA,Waste water discharge from Domestic or Municipal sources
22/06/2018,-13.8267947,33.5998632,Yes,NA,3/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/06/2018,-13.8893308,33.7255741,Yes,NA,6/1/2010,No,NA,NA,"Solid waste, Liquid waste",Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,Owner ,NA,Waste water discharge from Domestic or Municipal sources
22/06/2018,-13.8276788,33.6003564,Yes,NA,6/1/2015,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/06/2018,-13.8277284,33.6004249,Yes,NA,3/1/2017,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/06/2018,-13.8278493,33.6005855,Yes,Human,8/1/2017,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/06/2018,-14.2486609,33.7731093,Yes,Human,6/1/2018,No,NA,NA,Solid waste,Hazardous waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/06/2018,-14.2487662,33.7730713,Yes,Human,6/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/06/2018,-13.8543551,33.7134354,Yes,NA,2/1/2018,Yes,NA,NA,Solid waste,Household waste,No,Municipal - community waste site,50 - 500,Other,School ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/06/2018,-13.8546277,33.7139897,Yes,Human,1/1/2018,Yes,NA,NA,Solid waste,Household waste,No,Municipal - community waste site,50 - 500,Other,School ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/06/2018,-14.2522685,33.7736505,Yes,Human,5/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/06/2018,-13.7925156,33.6529588,Yes,Human,10/1/1994,No,NA,NA,Liquid waste,Household waste,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,Owner,NA,Waste water discharge from Domestic or Municipal sources
22/06/2018,-13.7925456,33.6526503,Yes,NA,6/1/2012,No,NA,NA,"Liquid waste, Solid waste",Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,Owner,NA,Waste water discharge from Domestic or Municipal sources
22/06/2018,-14.2478776,33.7678605,Yes,NA,5/1/2007,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/06/2018,-14.248082,33.7678877,Yes,NA,10/1/2010,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/06/2018,-14.2484628,33.767695,Yes,NA,6/1/2009,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/06/2018,-14.2480151,33.7675977,Yes,NA,5/1/2013,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/06/2018,-14.0347013,33.3918559,Yes,NA,6/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/06/2018,-13.8255228,33.6051028,Yes,NA,3/1/2016,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/06/2018,-13.8175199,33.4460004,Yes,NA,7/1/2015,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/06/2018,-13.8257079,33.6059324,Yes,NA,1/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/06/2018,-13.9499242,33.746849,Yes,NA,6/1/2014,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/06/2018,-13.9497979,33.7473661,Yes,NA,12/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/06/2018,-13.949682,33.7475364,Yes,NA,6/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/06/2018,-14.0102822,33.3928053,Yes,NA,11/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/2018,-13.8275914,33.6023318,Yes,NA,1/1/2014,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/2018,-13.8276114,33.6025131,Yes,NA,1/1/2014,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/2018,-13.8275775,33.6026251,Yes,NA,2/1/2014,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/2018,-13.8271681,33.6032062,Yes,NA,1/1/2013,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/2018,-13.8268123,33.6029114,Yes,NA,5/1/2008,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/2018,-13.8263049,33.6030886,Yes,NA,1/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/2018,-14.0206578,33.3865935,Yes,NA,1/1/2000,No,NA,NA,Solid waste,Non-hazardous waste,No,Municipal - community waste site,500 - 2500,Other,School waste disposal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/2018,-13.8259159,33.603183,Yes,NA,8/1/2014,No,NA,NA,"Solid waste, Liquid waste",Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,None,NA,Waste water discharge from Domestic or Municipal sources
24/06/2018,-14.0207026,33.4214023,Yes,Human,1/1/2013,No,NA,NA,Solid waste,Non-hazardous waste,No,Municipal - community waste site,500 - 2500,Other,School waste disposal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/2018,-14.0207122,33.4213999,Yes,NA,1/1/2013,No,NA,NA,Solid waste,Non-hazardous waste,No,Municipal - community waste site,500 - 2500,Other,School waste disposal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/2018,-13.8262833,33.6056736,Yes,NA,1/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/2018,-14.0217771,33.4195565,Yes,NA,2/1/2015,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/2018,-14.0218594,33.4195147,Yes,NA,5/1/2015,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/2018,-13.8158337,33.4464199,Yes,NA,4/1/2013,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/2018,-13.8151329,33.4463703,Yes,NA,8/1/2013,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/06/2018,-13.7505791,33.7275502,Yes,NA,6/1/2016,No,NA,NA,Liquid waste,Household waste,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,No,Household,No,Waste water discharge from Domestic or Municipal sources
25/06/2018,-13.7506646,33.7298039,Yes,NA,6/1/2016,No,NA,NA,Liquid waste,Household waste,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,No,Household ,No,Waste water discharge from Domestic or Municipal sources
26/06/2018,-13.8169777,33.4457758,Yes,NA,6/1/2015,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/06/2018,-13.8165774,33.4453393,Yes,NA,6/1/2014,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/06/2018,-13.8161263,33.445451,Yes,NA,4/1/2006,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/06/2018,-13.8158796,33.4455485,Yes,NA,3/1/2001,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/06/2018,-13.880548,33.7198512,Yes,NA,5/1/2014,No,NA,NA,Liquid waste,Stagnant water,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,Owner ,NA,Waste water discharge from Domestic or Municipal sources
26/06/2018,-13.8802324,33.7202149,Yes,NA,3/1/2018,No,NA,NA,Liquid waste,Unknown,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,Owner ,NA,Waste water discharge from Domestic or Municipal sources
26/06/2018,-13.8809672,33.7203815,Yes,NA,5/1/2017,No,NA,NA,Liquid waste,Stagnant water,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,Owner ,NA,Waste water discharge from Domestic or Municipal sources
26/06/2018,-14.2489921,33.773286,Yes,NA,2/1/2017,No,NA,NA,Solid waste,Household waste,Yes,Municipal - community waste site,500 - 2500,Other,Burrying,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/06/2018,-14.0945605,33.9629592,Yes,NA,10/1/2012,Yes,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/06/2018,-14.2553948,33.7684825,Yes,NA,5/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
